Utility,Location,PeopleServed,ViolationPoints
"Milton, City of","Milton, ND",58,2
"Kensal, City of","Kensal, ND",163,2
"Warwick, City of","Warwick, ND",65,2
"Willow City, City of","Willow City, ND",163,2
"Wilton, City of","Wilton, ND",711,2
"Hunter, City of","Hunter, ND",261,2
"St. Thomas, City of","St. Thomas, ND",331,2
Brunersburg Water District - Evansport,"Defiance, OH",268,91
Brunersburg Water District - Airport,"Defiance, OH",40,75
Defiance City,"Defiance, OH",16494,67
Archbold Village,"Archbold, OH",5724,35
Sebring Village Public Water System,"Sebring, OH",8100,26
Apple Creek Village Public Water System,"Apple Creek, OH",1100,14
Ivystone Water System,"Alliance, OH",30,12
West Farmington Village Public Water System,"West Farmington, OH",775,11
Pomeroy Village Public Water System,"Pomeroy, OH",1800,10
New London Village -plant 2,"New London, OH",25,10
Brook Park Estates Mobile Home Park Public Water System,"Tiffin, OH",90,10
Choctaw Utilities Inc.,"London, OH",2000,9
"South Vienna, Village of","South Vienna, OH",565,8
Springwater Gardens Condominiums PWS,"North Canton, OH",41,7
Comet Mobile Home Park,"Clinton, OH",25,7
Batavia Village Public Water System,"Batavia, OH",1509,7
St. Luke Lutheran Community - Portage La,"Akron, OH",143,6
Bethel Village Public Water System,"Bethel, OH",2732,6
Catalpa Grove Mobile Home Park,"Springfield, OH",27,6
Jewett Village,"Jewett, OH",650,6
Beth Mobile Home Park,"Canton, OH",188,6
Nelsonville Public Water System,"Nelsonville, OH",5816,6
Heather Hill Care Communities,"Canton, OH",650,6
Fairlane Water Company,"Ravenna, OH",354,6
East Canton Village Public Water System,"East Canton, OH",1400,5
Laura Village Public Water System,"Laura, OH",487,5
Rayland Village Public Water System,"Rayland, OH",434,5
Leipsic Village,"Leipsic, OH",2045,5
New Carlisle City Public Water System,"New Carlisle, OH",5735,5
Junction City,"Junction City, OH",819,5
Barnsdall,"Barnsdall, OK",1243,473
Sardis Lake Water Authority,"Clayton, OK",307,470
Wewoka Public Works Authority,"Wewoka, OK",3450,286
Grandfield,"Grandfield, OK",1110,280
Aline,"Aline, OK",214,221
Okarche Rural Water District Inc.,"Okarche, OK",250,190
Okarche,"Okarche, OK",1110,190
Geary,"Geary, OK",1258,185
Loyal,"Loyal, OK",81,181
Canadian County Rural Water District # 1,"Calumet, OK",750,180
Fairfax,"Fairfax, OK",1555,172
Major County Rural Water District #1,"Fairview, OK",1000,171
Otoe-missouria Tribe,"Red Rock, OK",250,170
Cherokee County Rural Water District #1 (Ft. Gibson),"Fort Gibson, OK",710,168
Carmen Public Works Authority,"Carmen, OK",355,164
Lakeway Mobile Home Park,"Louisville, OK",65,155
Osage County Rural Water District # 20 (hulah),"Bartlesville, OK",350,150
Walnut Park Estates,"Prue, OK",42,141
Thirsty Water Corporation,"Willow, OK",81,140
Hominy,"Hominy, OK",2584,135
Talihina PWA,"Talihina, OK",1297,133
Okmulgee,"Okmulgee, OK",13495,133
Beggs,"Beggs, OK",1364,127
Cleveland Municipal Authority,"Cleveland, OK",3262,116
Southern Okla Water Corp,"Ardmore, OK",11250,110
Canute,"Canute, OK",524,110
"Mcintosh County Rural Water, Sewer & Solid Waste Management District #2 (onapa)","Checotah, OK",2774,108
Chickasha Municipal Authority,"Chickasha, OK",16036,105
Maysville,"Maysville, OK",1212,102
Eufaula Public Works Authority,"Eufaula, OK",4462,101
Trollers Cove Water Association,"Tidewater, OR",32,101
London Water Co-op,"Cottage Grove, OR",63,78
Manzanita Hills Subdivision,"Shady Cove, OR",27,65
"Richland, City of","Richland, OR",245,55
Weiss Estates Water System,"Bandon, OR",36,49
Skyview Acres Water Company,"Sandy, OR",200,47
Midland Water Association,"Clatskanie, OR",160,41
Dexter Oaks Co-op,"Dexter, OR",75,35
"Adrian, City of","Adrian, OR",180,34
"Monroe, City of","Monroe, OR",615,32
Swisshome Village,"Swisshome, OR",36,26
Youngs River Lewis & Clark Water District,"Astoria, OR",2530,25
Bolder City Water System,"Jacksonville, OR",60,21
"Sumpter, City of","Sumpter, OR",205,20
Mcnulty Water People's Utility District,"St. Helens, OR",2500,18
"Monument, City of","Monument, OR",130,15
Laurelwood Water Users,"Gaston, OR",200,13
Tooley Water District,"Newberg, OR",42,12
Elderberry Nehalem Ws,"Seaside, OR",140,12
Paradise/rogue Meadows Ws,"Clackamas, OR",165,11
Caseys Riverside Park,"Westfir, OR",84,11
Sunset Lake Rv Park,"Redmond, OR",170,10
Glide Water Association,"Glide, OR",1200,10
Hawks Point,"Eugene, OR",75,10
Shorewood Estates,"Albany, OR",148,10
Raintree Estates,"Corvallis, OR",50,10
Young Life,"Antelope, OR",482,10
Mount Terrace Mobile Home Park,"Culver City, OR",60,10
Brewster Community Homeowners,"Salem, OR",50,10
Country Club Estates Water District,"Coos Bay, OR",45,10
Freeburg Municipal Authority,"Freeburg, PA",685,70
East Taylor Municipal Authority,"Johnstown, PA",3152,47
Jackson Township Water Authority,"Johnstown, PA",3198,35
Salem Heights Estate,"Hamlin, PA",62,33
Sproul Water Association,"Sproul, PA",180,31
Sunrise Lakes Sec 12,"Covington Twp, PA",125,30
Nelson Township Authority,"Nelson, PA",300,30
Falls Creek Borough Municipal Authority,"Falls Creek, PA",1440,30
Sunrise Lake Section 9,"Milford, PA",125,28
Sandy Hook Water Association,"Chambersburg, PA",80,26
Ebensburg Boro Muni Authority,"Ebensburg, PA",8500,26
Blacklick Valley Municipal Authority,"Twin Rocks, PA",1650,26
State Line Municipal Services Authority,"Point Marion, PA",95,25
Centerville Muni Water Authority,"Bedford, PA",78,25
Indiana Municipal Services Authority-rossiter,"Indiana, PA",500,25
Glasgow Municipal Water Works,"Midland, PA",51,25
Empire Mobile Home Park,"Bellefonte, PA",75,24
Hemlock Farms (main),"Lords Valley, PA",8321,23
Summit Management Utilities,"Lake Harmony, PA",500,23
Selinsgrove Center,"Selinsgrove, PA",1280,23
Blawnox Borough Water Department,"Pittsburgh, PA",2200,22
Choconut Creek Apartments,"Binghamton, PA",50,21
Eden Glen Village,"Lancaster, PA",80,20
Kings II Mobile Home Park,"Carrolltown, PA",55,20
Ansonville Water Authority,"Irvona, PA",55,19
Cle Inc. Forest Hills Pch,"Sidman, PA",40,19
Clarendon Acres Water Company,"Tunkhannock, PA",280,16
Country Club Apartments,"Sparta, PA",240,16
Icmsa Crooked Creek,"Indiana, PA",9638,15
Brockway Borough Municipal Authority,"Brockway, PA",4384,14
Lindhbrook Water Company,"Harwington, RI",200,7
Shady Acres Inc.,"West Kingston, RI",77,6
Canonchet Cliffs Water Association Inc.,"Hope Valley, RI",154,5
Westerly Water Department,"Westerly, RI",38000,3
"Pascoag Utility District, Water Division","Pascoag, RI",2985,2
Prudence Island Water District,"Prudence Island, RI",1500,2
Shadow Woods At Deer Brook,"Warwick, RI",300,2
Bethel Village Water Association,"Ashaway, RI",180,1
North Kingstown,"North Kingstown, RI",23568,1
Block Island Water Company,"Block Island, RI",9999,1
Paige Associates,"West Warwick, RI",120,1
South Kingstown Nursing and Rehab,"West Kingston, RI",175,1
Maplehill Mobile Home Park,"Mapleville, RI",750,1
Lawrence Sunset Cove Association,"Tiverton, RI",36,1
Siesta Cove Rv Park Marina (sc3270802),"Lexington, SC",22,31
Sandy Run Mobile Home Park,"Summerville, SC",39,30
Regency Square 2 (sc3260170),"Lexington, SC",99,7
"Monetta, Town of","Monetta, SC",974,5
Bgwc Charleswood S/d,"Greenville, SC",510,5
Sumter Co-wedgefield-stateburg Water District,"Sumter, SC",1200,5
Bgwc Peachtree Acres,"Greenville, SC",119,5
Dcws I-95,"Summerville, SC",99,5
Spartanburg Water System,"Spartanburg, SC",142671,5
Olar Govan Water System,"Olar, SC",257,3
Horrell Hill Mobile Home Park,"Lexington, SC",40,3
Piney Lane Mobile Home Park (sc4060052),"Lexington, SC",24,3
Mcdonalds Mobile Home Park,"Columbia, SC",36,2
Cedar Valley Mobile Home Park,"Catawba, SC",290,2
City of Walhalla,"Walhalla, SC",15768,2
Boys Farm Inc.,"Newberry, SC",40,2
Ninety Six CPW (sc2410002),"Ninety Six, SC",2880,2
Country Acres,"Greenwood, SC",34,2
"Clio, Town of","Clio, SC",733,2
Willow Creek Mobile Home Park (sc4060019),"Mount Pleasant, SC",40,2
Cameron Mobile Home Park (sc0260038),"Aiken, SC",83,2
Sunnyvale Mobile Home Park,"Aiken, SC",65,1
Crystal Pines (sc3250065),"Chapin, SC",69,1
Allendale Industrial Park,"Allendale, SC",2270,1
"West Union, Town of","West Union, SC",468,1
Pioneer Rural Water District,"Westminster, SC",15518,1
Colony East II,"Abbeville, SC",23,1
Halter Acres Mobile Home Park,"West Columbia, SC",90,1
Rolling Meadows Mobile Home Park,"West Columbia, SC",1056,1
Carroll Mobile Home Park 1,"York, SC",25,1
Viewfield Rural Water System,"Black Hawk, SD",150,90
Bestgen Water Company,"Sturgis, SD",73,20
Aurora,"Aurora, SD",532,12
Pelican Plaza,"Watertown, SD",100,10
Cottonwood Grove Mobile Home Park,"New Underwood, SD",30,10
Marvin,"South Shore, SD",34,7
White,"White, SD",485,6
Prairie Acres LLC,"Piedmont, SD",325,5
Valley Springs,"Valley Springs, SD",759,5
Fairburn Water Association,"Fairburn, SD",65,5
Wakonda,"Wakonda, SD",321,5
Willow Lake,"Willow Lake, SD",285,5
Sheridan Lake Highlands,"Piedmont, SD",66,5
Henry,"Henry, SD",297,5
High Meadows Water Company,"Black Hawk, SD",140,5
Dupree,"Dupree, SD",525,5
Colome,"Colome, SD",296,5
Whispering Willows,"Piedmont, SD",90,5
Brookings Municipal Utilities,"Brookings, SD",22298,5
Pillar Peak,"City, SD",24,5
Sioux Rural Water System,"Watertown, SD",4000,5
Hutterville Hutterian Brethren,"Stratford, SD",130,3
Eden,"Eden, SD",89,3
Lesterville,"Lesterville, SD",127,3
Greenwood Colony,"Delmont, SD",80,3
Ramona,"Ramona, SD",174,3
Provo Area Water System,"Edgemont, SD",42,2
Country Club Estates,"Hot Springs, SD",83,2
Tea,"Tea, SD",4500,2
Howard,"Howard, SD",858,2
River Landing Condominium Asso,"Aniston, TN",52,82
Deerfield Resort Water System,"Lafollette, TN",1088,56
Chanute-pall Mall Utility District,"Pall Mall, TN",1347,41
Spring City Water System,"Spring City, TN",2701,30
Spencer Water System,"Spencer, TN",5306,30
Franklin Water Department,"Franklin, TN",52781,22
Surgoinsville Utility District,"Surgoinsville, TN",2600,13
Brownlow Utility District,"Maountaincity, TN",599,13
Summertown Water System,"Summertown, TN",4325,12
Oliver Springs Water Board,"Oliver Springs, TN",5665,11
Dekalb Utility District #1,"Smithville, TN",14424,10
Pikeville Water System,"Pikeville, TN",4581,10
Monterey Water Department,"Monterey, TN",4480,10
Gladeville Utility District,"Lebanon, TN",19510,10
Northwest Clay County Utility,"Moss, TN",4048,9
New Johnsonville Water Department,"New Johnsonville, TN",2460,8
Whiteville Water Department,"Whiteville, TN",1817,8
Bristol-bluff City Utility Dis,"Bluff City, TN",5868,7
Alexandria Water System,"Alexandria, TN",2557,7
Gateway Village Water System,"Brentwood, TN",1055,6
Anderson County Water Authority,"Clinton, TN",24029,6
Bloomingdale Utility District,"Kingsport, TN",13239,6
Roane Central Utility District,"Harriman, TN",6236,6
Old Hickory Water Company-unio,"Maynardville, TN",339,6
Copperhill Water Department,"Copperhill, TN",1075,6
Quebeck Walling Utility District,"Sparta, TN",4838,5
Watertown Water System,"Watertown, TN",1916,5
"North Greene Utilities, Incorporated","Greeneville, TN",5978,5
East Montgomery Utility District,"Clarksville, TN",16812,5
West Cumberland Utility District,"Pleasant Hill, TN",5470,5
South Midland County Water Systems,"Kingsland, TX",165,433
Grassland Water Supply Corporation,"Tahoka, TX",55,401
Valley Estates,"Shallowater, TX",70,370
Country View Mobile Home Park,"Shallowater, TX",55,360
Key Road Subdivision Water System,"Bloomington, TX",56,330
Pecan Grove Mobile Home Park,"San Antonio, TX",81,326
Warren Road Subdivision Water Supply,"Midland, TX",195,308
Welch Water Supply Corporation,"Welch, TX",315,300
Lee Limas Mobile Home Park,"Canutillo, TX",39,287
Country Villa Mobile Home Park,"Beeville, TX",96,270
Eola Water Supply Corporation,"Eola, TX",165,230
Oak Hill Acres Mobile Home Subdivision,"Helotes, TX",81,222
Seven Estates,"Wolfforth, TX",261,217
Country Village Mobile Home Estates,"Midland, TX",138,213
T L Water Jones Acres,"Keller, TX",120,208
Leroys Mobile Home Park,"Texarkana, TX",60,208
Barksdale Water Supply Corporation,"Barksdale, TX",249,205
Stormlight Mobile Home Park,"Carlsbad, TX",54,205
Fort Jackson Mobile Estates,"Lubbock, TX",72,204
Greenwood Terrace Mobile Home Subdivision,"Las Cruces, TX",120,201
Terrells Mobile Home Park,"Lovington, TX",60,201
City of Wellman,"Wellman, TX",225,200
City of Seagraves,"Seagraves, TX",2417,200
Turkey Municipal Water System,"Turkey, TX",421,194
Canyon Dam Mobile Home Park,"Odessa, TX",108,194
Millersview-doole Water Supply Corporation,"Millersview, TX",3987,192
Tempe Water Supply Corporation 1,"Livingston, TX",1897,191
City of Quitaque,"Quitaque, TX",423,190
Wolfforth Place,"Wolfforth, TX",400,190
Franklin Water Systems 3,"Southlake, TX",159,187
South Duchesne Culinary Water,"Duchesne, UT",525,11
Peoa Pipeline Company,"Peoa, UT",141,10
Monte Vista Community Water Company,"Cedar City, UT",150,9
Day Star Adventist Academy,"Moab, UT",35,9
Mountain Green Water Association,"Mountain Green, UT",60,9
North Valley Ranches Sub,"New Harmony, UT",25,7
Trail Cyn Residents Association,"Huntington, UT",42,7
Alton Town Water System,"Alton, UT",136,7
Palisades Water Company,"Sterling, UT",51,6
Eagles Landing,"Eagle Mountain, UT",50,6
Loa Town Water System,"Loa, UT",490,6
Summit County Service Area #3,"Park City, UT",350,6
Diamond Valley Acres,"St George, UT",1340,6
Batemans Mosida Farms,"Elberta, UT",90,5
Cottonwood Mutual,"Morgan, UT",2600,5
Amalga Town Water System,"Amalga, UT",495,5
Snowville Town,"Snowville, UT",340,5
Elkridge Water Company,"Cedar City, UT",158,5
Enoch City Water System,"Enoch, UT",6500,5
High Creek Water Company,"Cove, UT",120,4
Cole Canyon Water Company,"Liberty, UT",35,4
Marion Waterworks Company,"Kamas, UT",445,3
Ticaboo Utility Improvement District,"Ticaboo, UT",73,3
Deseret Feedlot,"Elberta, UT",60,3
Turn About Ranch,"Escalante, UT",185,3
Pinion Forest Ssd,"Duchesne, UT",640,3
Thompson Special Services District,"Thompson, UT",76,3
Big Plains Sw Special Service District - Cedar Point,"Apple Valley, UT",232,3
Pole Patch Water System,"North Ogden, UT",66,3
Manila Town Water System,"Manila, UT",701,3
Okemo Village Condominiums,"New City, VT",180,74
Hemlock Ridge Condominium,"Killington, VT",63,55
East Mountain Mobile Home Park,"Bennington, VT",76,20
Ryegate Fire District 2,"E Ryegate, VT",131,17
Union House Nursing Home,"Glover, VT",56,16
Northwoods Village Apartments,"Plainfield, VT",130,15
Suntec Forest Condominium,"W Dover, VT",240,11
Country Club Condominium,"Burlington, VT",80,10
Parsons Hill Partnership,"Castleton, VT",32,9
Franklin Water System,"Franklin, VT",400,8
Ascutney Fd #2,"Ascutney, VT",485,8
Rochester Water System,"Rochester, VT",440,7
Murray Hill,"Montpelier, VT",212,6
Ledges System 1,"Mount Holly, VT",252,6
Colonial Estates Water Corporation,"Rutland, VT",200,6
Mcindoe Falls Fire District 3,"Mcindoe Falls, VT",176,6
Eastfield Condominium Association Inc.,"Milton, VT",63,6
Wells River Water System,"Wells River, VT",490,6
Club Sugarbush Water System,"Warren, VT",245,5
Rutland Town Fire District 6,"Rutland, VT",137,5
Battleground Condominium,"Waitsfield, VT",166,5
Winterplace Water System,"Ludlow, VT",700,5
Arlington Water Department,"Arlington, VT",1250,5
Danby Mount Tabor F D 1,"Danby, VT",385,5
Cortina Inn Resort,"Killington, VT",216,4
Colonial Estates Homeowners Association,"Fairfax, VT",79,3
Hyde Park Fire District 1,"N Hyde Park, VT",275,3
Burke Fire District 1,"East Burke, VT",142,3
South Hero Fire District 4,"South Hero, VT",760,3
East Calais Fire District 1,"East Calais, VT",200,3
Rescue Waterworks,"Rescue, VA",203,85
Willing Workers Club,"Carrollton, VA",31,78
Dry Valley Subdivision,"Roanoke, VA",48,29
Bethel Woods Subdivision,"Roanoke, VA",126,25
Riverbend Subdivision,"Roanoke, VA",72,20
Bellavista Estates,"Roanoke, VA",45,20
Walton Farms Subdivision,"Roanoke, VA",135,19
Twin Boulders Subdivision,"Roanoke, VA",90,18
"Emporia, City of","Emporia, VA",5600,15
Brookmont Area,"Pulaski, VA",100,15
Woodroam Subdivision,"Roanoke, VA",80,14
Viewland Subdivision,"Roanoke, VA",230,13
Darden`s Mill Estates,"Weston, VA",114,11
"Hardy Road Trailer Park, Section 2","Roanoke, VA",200,10
"Altavista, Town of","Altavista, VA",3850,10
Chesapeake Shores,"Rockville, VA",56,10
Castle Craig Subdivision,"Roanoke, VA",78,9
Greenfield Harbor I Subdivision,"Callao, VA",48,7
Wallace Manor,"Cleveland, VA",223,7
Greenfield Harbor II Subdivision,"Callao, VA",43,6
Knoll Woods/ivy Acres,"Lynchburg, VA",250,6
Pine Grove Mobile Home Park,"Orange, VA",79,6
Rye Valley Water Authority,"Sugar Grove, VA",1276,6
Mountain Vista Village,"Martinsville, VA",100,5
Nelson County - Piney River,"Lovingston, VA",202,5
Jettys Reach Iii,"Callao, VA",25,5
Hartland Institute,"Rapidan, VA",150,5
Deer Run,"Smithfield, VA",104,5
"Lawrenceville, Town of","Lawrenceville, VA",4806,5
Brunswick Ida - North,"Lawrenceville, VA",1035,5
Coxville Water Association #1,"Benton City, WA",52,90
Red Gate Mobile Home Park,"Port Orchard, WA",23,55
Country Club Estates,"Port Orchard, WA",103,50
Mcneil Island Water,"Steilacoom, WA",271,40
Lisecc,"Lummi Island, WA",182,40
Marble Water System,"Northport, WA",90,33
Devries Road Community Association,"Oak Harbor, WA",76,30
Tanglewood Mobile Home Park,"Wa, WA",63,26
Kontree Apartments Water System,"Lynden, WA",60,25
Penn Cove Water and Sewer District,"Oak Harbor, WA",460,25
Oysterville,"Ilwaco, WA",59,25
Trails West Subdivision,"Spokane, WA",25,22
Pinecroft Mobile Home Park,"Port Orchard, WA",248,21
Alta Lake Golf Course Plat,"Pateros, WA",89,21
Rainier Tracts Water Association,"Othello, WA",61,21
Kahlotus City Of,"Kahlotus, WA",182,20
Kepps Acres Association,"Pasco, WA",35,20
Canyon Village Water System Inc.,"Pasco, WA",310,20
Long Beach Water Department,"Long Beach, WA",3052,20
East Monitor Water Association,"Monitor, WA",80,19
Johnson Creek Water Users Association,"Tonasket, WA",48,17
Tiger Mtn Tracts,"Issaquah, WA",30,16
Riverside Town Of,"Riverside, WA",349,15
Ridgeview Estates Community Association,"Freeland, WA",75,15
Fisherman Bay Water Association,"Lopez Island, WA",230,15
Western State Hospital,"Spanaway, WA",1000,15
Home Valley Water District,"Stevenson, WA",360,14
Fourth Of July Creek Estates,"Colville, WA",25,14
Mesa Water Department,"Mesa, WA",495,13
George City Of,"George, WA",700,12
Coal Mountain Water,"Coal Mountain, WV",118,406
Hiawatha Water,"Matoaka, WV",75,351
Weyanoke Giatto Water System,"Matoaka, WV",40,343
Garwood Community Water,"Covel, WV",55,303
Keystone Municipal Water,"Keystone, WV",448,284
Pinnacle Water Association,"Rock, WV",85,142
Mount Zion P S D,"Grantsville, WV",1392,87
Potomac Farms Water Co.,"Harpers Ferry, WV",65,58
Lincoln Psd,"Alum Creek, WV",3772,55
Armstrong Psd,"Kimberly, WV",2208,37
Reamer Hill Water Assoc,"Clendenin, WV",64,34
Walnut Grove Utilities,"Kearneysville, WV",6797,34
Denver Water Assoc,"Tunnelton, WV",364,28
Mineral Wells Psd,"Mineral Wells, WV",5674,27
Hardy County Psd Baker,"Moorefield, WV",182,27
Nettie Leivasy Psd,"Nettie, WV",3239,26
Logan County PSD - Northern Regional,"Logan, WV",16949,25
Piedmont Municipal Water Wks,"Piedmont, WV",847,24
Hillsboro Town Of,"Hillsboro, WV",262,21
J-2-y-35 Water,"Pt. Pleasant, WV",1250,21
Mcdowell County Psd Berwind,"Welch, WV",863,21
Ripley City Of,"Ripley, WV",5255,20
Reedy Water Service Town Of,"Reedy, WV",356,20
Crumpler Community Water,"Welch, WV",318,20
Valley Grove Water Department,"Valley Grove, WV",686,19
Point Pleasant Water Works,"Pt. Pleasant, WV",5290,19
Hutchinson Community Water Assoc,"Worthington, WV",370,18
Logan Water Board City Of,"Logan, WV",3862,17
Pocahontas Co. Psd - Cheat Mountain Water,"Durbin, WV",1867,17
West Logan Water Co.,"Logan, WV",915,17
Waukesha Water Utility,"Waukesha, WI",70718,98
Deforest South,"Madison, WI",25,57
Brookfield Water Utility,"Brookfield, WI",29070,48
Sussex Village Hall & Water Utility,"Sussex, WI",10573,47
Pewaukee City Water and Sewer Utility,"Pewaukee, WI",8671,45
Waupun Correctional Inst,"Waupun, WI",4901,27
Elkhorn Waterworks,"Elkhorn, WI",8820,27
La Valle Waterworks,"La Valle, WI",365,25
Pine Ridge,"West Allis, WI",25,25
Juneau Waterworks,"Juneau, WI",2627,16
Shady Oaks Mobile Home Park,"Menomonie, WI",40,15
Ashland Water Utility,"Ashland, WI",9115,15
Lakeview Specialty Hospital,"Waterford, WI",384,12
Eagle Waterworks,"Eagle, WI",1950,12
New Richmond Estates,"New Richmond, WI",95,10
Country Vineyard 4,"Oregon, WI",28,10
Hoffmanns Wissota Court,"Chippewa Falls, WI",126,10
City of Beloit,"Beloit, WI",37110,10
Augusta Waterworks,"Augusta, WI",1450,10
Lyndon Station Waterworks,"Lyndon Station, WI",474,9
Genoa Waterworks,"Genoa, WI",264,9
Iron River Sanitary District,"Iron River, WI",600,9
Country View Mobile Home Community Llc,"Oregon, WI",80,9
Amani Village Sanitary District,"Osceola, WI",100,8
"Bloomfield, Village Of","Pell Lake, WI",4071,8
Pearces Mobile Home Estates,"Mauston, WI",37,7
Rewey Waterworks,"Rewey, WI",290,7
Lake Mills Waterworks,"Lake Mills, WI",5780,7
Heidel Rd Apts 139,"Thiensville, WI",40,7
Elcho Sanitary District 1,"Elcho, WI",400,6
Lance Creek Water District,"Lance Creek, WY",45,82
Mountain Village Parks,"Jamestown, WY",53,38
"Manville, Town Of","Manville, WY",52,37
Southfork Estates,"Gillette, WY",144,15
"Marbleton, Town Of","Marbleton, WY",780,14
"Chugwater, Town Of","Chugwater, WY",200,12
"Red Lane Domestic Water, Inc.","Thermopolis, WY",111,11
Potlatch Trailer Court,"Torrington, WY",70,10
"Albin, Town Of","Albin, WY",181,7
"Shoshoni, Town Of","Shoshoni, WY",650,7
"Alpine, Town Of","Alpine, WY",1100,7
Rivermeadows Water District,"Jackson, WY",100,6
Second Fike Subdivision,"Riverton, WY",34,6
Roberts Trailer Park,"Hulett, WY",32,6
"Mountain View, Town Of","Mountain View, WY",1250,6
Leisure Valley Inc/ Star Valley Rv Park,"Thayne, WY",433,6
South Riverside Acres Water Improvement District,"Evansville, WY",70,6
Jeffrey City Water & Sewer District,"Jeffrey City, WY",59,5
Wrangler Estates,"Gillette, WY",250,5
"Superior, Town Of","Superior, WY",356,5
Country Meadow Estates,"Laramie, WY",375,5
Fairview Water & Sewer District,"Grover, WY",230,5
"Granger, Town Of","Granger, WY",139,5
Broken Wrench Llc,"Casper, WY",30,5
Evergreen Mobile Home Park,"Cheyenne, WY",50,5
"Wheatland, Town Of","Wheatland, WY",3627,5
Turnerville Water and Sewer District,"Grover, WY",90,5
Kennington Springs Pipeline,"Grover, WY",45,5
"Jackson, Town Of","Jackson, WY",8000,4
"Cokeville, Town Of","Cokeville, WY",535,4
